IMGVR_UViG_2551306657_000001.2551306657.2551467356_1	WP_040682512.1	100.0	373	0	0	1	373	1	373	1.4e-206	729.2
IMGVR_UViG_2551306657_000001.2551306657.2551467356_1	WP_063720499.1	37.3	367	210	8	1	359	1	355	4.6e-53	219.2
IMGVR_UViG_2551306657_000001.2551306657.2551467356_1	WP_157944487.1	37.4	364	208	8	4	359	2	353	1.3e-52	217.6
IMGVR_UViG_2551306657_000001.2551306657.2551467356_1	WP_145900043.1	37.4	329	198	6	6	332	36	358	5.6e-51	212.2
IMGVR_UViG_2551306657_000001.2551306657.2551467356_1	WP_178786650.1	35.9	382	224	9	1	372	1	371	2.8e-50	209.9
IMGVR_UViG_2551306657_000001.2551306657.2551467356_1	WP_019265431.1	37.0	370	213	9	6	368	5	361	8.1e-50	208.4
IMGVR_UViG_2551306657_000001.2551306657.2551467356_1	WP_069593191.1	38.0	332	198	7	6	335	3	328	5.3e-49	205.7
IMGVR_UViG_2551306657_000001.2551306657.2551467356_1	WP_178647929.1	36.9	328	192	7	6	323	3	325	6.9e-49	205.3
IMGVR_UViG_2551306657_000001.2551306657.2551467356_1	WP_157064636.1	35.9	362	221	8	4	357	5	363	1.5e-48	204.1
IMGVR_UViG_2551306657_000001.2551306657.2551467356_1	WP_112123443.1	36.7	332	203	6	6	335	3	329	2.6e-48	203.4
IMGVR_UViG_2551306657_000001.2551306657.2551467356_1	WP_067146358.1	35.0	326	202	6	4	322	3	325	4.4e-48	202.6
IMGVR_UViG_2551306657_000001.2551306657.2551467356_1	WP_063720288.1	36.6	336	205	6	6	339	3	332	9.9e-48	201.4
IMGVR_UViG_2551306657_000001.2551306657.2551467356_1	WP_112149375.1	35.9	337	202	10	4	335	2	329	9.9e-48	201.4
IMGVR_UViG_2551306657_000001.2551306657.2551467356_1	WP_011954740.1	35.9	334	206	6	8	339	5	332	4.2e-46	196.1
IMGVR_UViG_2551306657_000001.2551306657.2551467356_1	OPY20964.1	36.1	360	208	8	4	362	8	346	9.3e-46	194.9
IMGVR_UViG_2551306657_000001.2551306657.2551467356_1	WP_178785835.1	34.1	328	195	6	6	316	3	326	6.0e-45	192.2
IMGVR_UViG_2551306657_000001.2551306657.2551467356_1	WP_116668905.1	34.3	324	204	5	6	323	5	325	7.9e-45	191.8
IMGVR_UViG_2551306657_000001.2551306657.2551467356_1	HIH36212.1	34.5	336	206	8	9	337	6	334	2.3e-44	190.3
IMGVR_UViG_2551306657_000001.2551306657.2551467356_1	PWB87293.1	34.7	320	200	5	10	323	1	317	2.3e-44	190.3
IMGVR_UViG_2551306657_000001.2551306657.2551467356_1	WP_011954650.1	34.7	352	214	7	6	349	4	347	3.9e-44	189.5
IMGVR_UViG_2551306657_000001.2551306657.2551467356_2	WP_040682513.1	100.0	126	0	0	1	126	1	126	3.3e-64	254.6
IMGVR_UViG_2551306657_000001.2551306657.2551467356_2	WP_042708355.1	80.0	125	25	0	1	125	1	125	5.2e-49	204.1
IMGVR_UViG_2551306657_000001.2551306657.2551467356_4	WP_040682514.1	100.0	91	0	0	1	91	1	91	8.1e-44	186.4
IMGVR_UViG_2551306657_000001.2551306657.2551467356_4	WP_091699844.1	41.7	84	49	0	1	84	1	84	8.2e-12	80.1
IMGVR_UViG_2551306657_000001.2551306657.2551467356_4	WP_069575503.1	39.1	92	54	1	1	90	1	92	1.2e-10	76.3
IMGVR_UViG_2551306657_000001.2551306657.2551467356_5	WP_081585257.1	98.6	71	1	0	1	71	91	161	5.0e-33	150.2
IMGVR_UViG_2551306657_000001.2551306657.2551467356_5	WP_011406307.1	53.5	71	33	0	1	71	188	258	1.5e-13	85.5
IMGVR_UViG_2551306657_000001.2551306657.2551467356_5	WP_091699844.1	50.0	68	34	0	1	68	191	258	1.9e-08	68.6
IMGVR_UViG_2551306657_000001.2551306657.2551467356_5	WP_069575503.1	50.0	68	34	0	1	68	191	258	1.9e-08	68.6
IMGVR_UViG_2551306657_000001.2551306657.2551467356_6	WP_040682516.1	100.0	143	0	0	1	143	1	143	1.3e-64	256.1
IMGVR_UViG_2551306657_000001.2551306657.2551467356_6	WP_063720523.1	45.5	99	53	1	45	143	48	145	4.7e-14	88.2
IMGVR_UViG_2551306657_000001.2551306657.2551467356_6	WP_042693500.1	38.4	99	61	0	45	143	49	147	1.4e-13	86.7
IMGVR_UViG_2551306657_000001.2551306657.2551467356_7	WP_050553603.1	100.0	119	0	0	1	119	1	119	6.0e-63	250.4
IMGVR_UViG_2551306657_000001.2551306657.2551467356_7	WP_011406309.1	51.7	116	56	0	4	119	3	118	2.5e-24	122.1
IMGVR_UViG_2551306657_000001.2551306657.2551467356_7	WP_143753011.1	54.7	117	51	2	3	118	2	117	1.6e-23	119.4
IMGVR_UViG_2551306657_000001.2551306657.2551467356_7	WP_042694481.1	48.3	120	61	1	1	119	1	120	9.6e-21	110.2
IMGVR_UViG_2551306657_000001.2551306657.2551467356_7	WP_042693498.1	48.2	112	57	1	4	114	3	114	1.4e-16	96.3
IMGVR_UViG_2551306657_000001.2551306657.2551467356_7	WP_012955954.1	39.0	118	71	1	3	119	2	119	7.9e-15	90.5
IMGVR_UViG_2551306657_000001.2551306657.2551467356_7	WP_149732254.1	41.3	104	60	1	16	118	1	104	6.9e-11	77.4
IMGVR_UViG_2551306657_000001.2551306657.2551467356_8	WP_050553604.1	100.0	516	0	0	1	516	1	516	7.8e-168	600.9
IMGVR_UViG_2551306657_000001.2551306657.2551467356_8	WP_116592722.1	72.8	507	138	0	6	512	2	508	6.7e-95	358.6
IMGVR_UViG_2551306657_000001.2551306657.2551467356_8	WP_109582960.1	63.4	560	155	3	1	513	1	557	1.6e-80	310.8
IMGVR_UViG_2551306657_000001.2551306657.2551467356_8	WP_013645066.1	63.3	512	158	2	1	511	1	483	8.0e-80	308.5
IMGVR_UViG_2551306657_000001.2551306657.2551467356_8	WP_080460436.1	61.9	541	176	2	1	511	64	604	3.5e-75	293.1
IMGVR_UViG_2551306657_000001.2551306657.2551467356_8	WP_054835037.1	61.6	542	177	3	1	511	65	606	1.9e-73	287.3
IMGVR_UViG_2551306657_000001.2551306657.2551467356_8	WP_000523816.1	57.0	344	148	0	166	509	84	427	4.0e-71	279.6
IMGVR_UViG_2551306657_000001.2551306657.2551467356_8	WP_121868664.1	57.0	344	148	0	166	509	84	427	4.0e-71	279.6
IMGVR_UViG_2551306657_000001.2551306657.2551467356_8	WP_144573170.1	56.4	344	150	0	166	509	84	427	4.0e-71	279.6
IMGVR_UViG_2551306657_000001.2551306657.2551467356_8	EEM36570.1	57.0	344	148	0	166	509	90	433	4.0e-71	279.6
IMGVR_UViG_2551306657_000001.2551306657.2551467356_8	WP_098926364.1	57.0	344	148	0	166	509	84	427	4.0e-71	279.6
IMGVR_UViG_2551306657_000001.2551306657.2551467356_8	WP_084270697.1	66.2	512	171	2	1	511	1	511	5.2e-71	279.3
IMGVR_UViG_2551306657_000001.2551306657.2551467356_8	WP_103621811.1	57.0	344	148	0	166	509	84	427	5.2e-71	279.3
IMGVR_UViG_2551306657_000001.2551306657.2551467356_8	WP_086310679.1	58.7	351	145	0	162	512	87	437	6.8e-71	278.9
IMGVR_UViG_2551306657_000001.2551306657.2551467356_8	WP_098829620.1	56.7	344	149	0	166	509	84	427	1.5e-70	277.7
IMGVR_UViG_2551306657_000001.2551306657.2551467356_8	WP_098640052.1	56.7	344	149	0	166	509	84	427	1.5e-70	277.7
IMGVR_UViG_2551306657_000001.2551306657.2551467356_8	WP_113794592.1	53.1	352	165	0	162	513	80	431	2.0e-70	277.3
IMGVR_UViG_2551306657_000001.2551306657.2551467356_8	WP_010751954.1	64.4	348	124	0	162	509	87	434	4.8e-69	272.7
IMGVR_UViG_2551306657_000001.2551306657.2551467356_8	PEG89846.1	64.9	348	121	1	167	513	41	388	6.3e-69	272.3
IMGVR_UViG_2551306657_000001.2551306657.2551467356_8	WP_061205203.1	64.7	346	121	1	169	513	162	507	9.1e-68	268.5
IMGVR_UViG_2551306657_000001.2551306657.2551467356_9	WP_040682517.1	100.0	398	0	0	1	398	1	398	2.4e-225	791.6
IMGVR_UViG_2551306657_000001.2551306657.2551467356_9	WP_004034165.1	54.6	392	174	3	5	394	4	393	2.6e-118	436.0
IMGVR_UViG_2551306657_000001.2551306657.2551467356_9	WP_019265814.1	54.6	392	174	3	5	394	4	393	4.3e-118	435.3
IMGVR_UViG_2551306657_000001.2551306657.2551467356_9	WP_019266186.1	54.3	392	175	3	5	394	4	393	1.3e-117	433.7
IMGVR_UViG_2551306657_000001.2551306657.2551467356_9	ADC47990.1	53.8	396	181	1	1	394	1	396	1.7e-117	433.3
IMGVR_UViG_2551306657_000001.2551306657.2551467356_9	WP_019267506.1	53.6	392	178	3	5	394	4	393	6.3e-117	431.4
IMGVR_UViG_2551306657_000001.2551306657.2551467356_9	WP_048812538.1	53.7	395	181	1	2	394	1	395	8.2e-117	431.0
IMGVR_UViG_2551306657_000001.2551306657.2551467356_9	WP_019268349.1	53.2	357	163	3	5	359	4	358	4.7e-104	388.7
IMGVR_UViG_2551306657_000001.2551306657.2551467356_9	WP_011954656.1	43.8	388	212	5	11	392	7	394	2.2e-90	343.2
IMGVR_UViG_2551306657_000001.2551306657.2551467356_9	RAP50244.1	41.0	385	223	4	12	392	11	395	4.1e-84	322.4
IMGVR_UViG_2551306657_000001.2551306657.2551467356_9	OEC94505.1	41.6	387	220	3	10	390	8	394	5.4e-84	322.0
IMGVR_UViG_2551306657_000001.2551306657.2551467356_9	WP_083234894.1	41.6	387	220	3	10	390	7	393	5.4e-84	322.0
IMGVR_UViG_2551306657_000001.2551306657.2551467356_9	WP_091699611.1	41.3	387	221	3	10	390	7	393	4.5e-83	318.9
IMGVR_UViG_2551306657_000001.2551306657.2551467356_9	WP_067091645.1	42.3	397	219	4	9	395	4	400	4.3e-81	312.4
IMGVR_UViG_2551306657_000001.2551306657.2551467356_9	WP_040681752.1	39.4	391	231	3	10	394	6	396	2.0e-78	303.5
